"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"76" "04/2016" 5244.882436 429.299679 5052.21048 1033.267819 1451.939214 4441.296233 721.480234 408.323232 209.994033 1995.540688 24.85 27718.82 13.3915860517423 5.69 383849.92 -748636.02 466129.37
"77" "05/2016" 5101.205591 316.019127 3877.83723 1207.787572 1769.280918 3933.102753 807.003421 498.795382 277.221207 2115.728102 26.74 26455.722 13.3014388500045 5.96 -638865.17 -634823.42 507342.18
"78" "06/2016" 2956.172205 169.552523 4814.131857 2255.51693 2120.171155 3271.334973 924.05232 813.990671 287.560657 2171.085792 39.29 28063.97 14.6934053350489 5.61 -1186580.91 -397874.79 503325.06
"79" "07/2016" 2273.200423 96.849527 5176.652116 3927.734389 2614.379726 3521.941598 918.530369 825.32458 311.079627 2242.707222 41.07 29924.612 15.3240719790284 4.64 -1300744.38 -110342.17 489543.11
"80" "08/2016" 2047.078358 110.35765 5150.521036 3645.503786 2271.750907 3652.945479 895.838735 805.818797 326.727045 2123.530003 41.63 28864.848 15.6691420234466 4.68 -1385380.06 -236046.48 562563.2
"81" "09/2016" 1653.646379 101.239968 5008.646428 4552.416376 2391.824419 2713.826676 766.070232 595.626693 307.662661 2138.07377 44.17 28968.307 16.8328277767953 4.31 -1211647.8 -191733.23 264901.3
"82" "10/2016" 1631.830469 161.437399 5093.041035 4497.462582 3591.206967 2389.618089 584.444819 284.702891 306.358097 2321.390534 53.79 26706.721 19.3280851605202 5.68 -45410.7000000001 35987.23 429394
"83" "11/2016" 1499.05324 258.233603 3762.53913 4628.960457 3752.073842 3906.853138 426.513254 139.699618 304.816595 2298.320571 57.4 28671.363 22.0506822267301 5.63 -371053.61 -273194.58 259065.13
"84" "12/2016" 1846.561852 250.884627 4327.368413 5222.291708 3561.313669 2687.662593 379.704598 118.135645 306.422818 2327.95949 61.86 28736.188 24.1799456756677 5.2 -938349.76 -217041.77 204716.96
"85" "01/2017" 2040.641174 291.213041 5283.554335 5379.306658 3229.713911 4812.548538 476.155057 149.212081 327.460529 2452.616587 73.56 31029.857 37.1826568220655 5.22 354258.04 -245244.97 398537.53
